id,title,coordinates,type,description,google_map_url,general_url,general_url_title,folktale,folktale_id,heritage,remark
112,生活を支えた川,"[35.7760169327566, 138.98883104324344],[35.77374940501212, 139.00113701820376],[35.78245792561493, 139.04060840606692]",interview,"　川からそう遠くない場所に民家が並び、川で洗濯をしたり、瓶やお風呂に水をためて生活をしていました。「ここで大人がよくおしめを洗っていた」「道が悪い所を、毎日天秤棒を担いで水を運んだ」というお話も。水汲みは重労働ですが、登校前の子供やお腹の大きい妊婦もしていたようです。
　一方で、「川が近かったから、学校帰りに何人かで川原に降りて水浴びをしてました。下着１枚なって向こう岸までで引っ張ってもらって、そこの淵で遊んで、夕方近くなると家に帰ったの」〔島崎やす子さん／●才（昭和●年生まれ）。留浦地区出身〕
「上級生に犬かきとか、平泳ぎとかを教わったね。プールなんてなかったから、泳ぎは川で覚えました」〔島崎軍司さん／81才（昭和20年生まれ）。川野地区出身〕
他にも大きな岩から飛び込みをする、もりでカジカを捕る…など、川は子供たちにとって絶好の遊び場でもあり、人々の生活にとって欠かせないものでした。",,,,,,,
113,２度の大火事,"[35.77727035604214, 139.01111483573916],[35.77609527229084, 139.0022420883179]",interview,"ダム建設の問題で小河内村の人々が混乱していた昭和９年、追い討ちをかけるように２度の大火事がありました。
１度目は１月、麦山地区の対岸であがった火が風にあおられて集落に届き、24戸45棟が焼失。２度目は４月、民家から広がった火が川野地区の38戸と隣の青木地区の21戸合計86棟を焼失しました。
「集落の人たちはみんな、よその集落に避難しました。新しく家を建てるときもよその集落の大工さんが応援にきてくれましたね。たまたま同じ年だったから、余計に大変でした。」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕",,,,,,,
114,小学校,"[35.77509426132346, 139.00262832641604],[35.777017932108315, 139.02284145355227],[35.79432017233436, 139.00439858436587],[35.7866492373623, 139.01456508747506]",interview,"小河内村には、河内地区にある小河内小学校と、川野地区の川野分校、峰地区の明治分校の３校がありました。
「友達が引っ越しちゃって、残るのは何人もいなかったの。すごく寂しい思いをして、しょっちゅう泣いてた」〔島崎やす子さん／●才（昭和●年生まれ）。留浦地区出身〕
ダム建設による村外への転出者が多いなか、昭和32年７月に小河内小学校が完成しました。８月には新校舎へと移転、新たな学び舎での生活が始まります。
「先生が、今度行く学校（小河内小学校）を見に、みんなを連れていってくれたんです。はじめて見たとき、白く光ってて、お城みたいで、うわー、すごくキレイ！ って、あの感動はいまも覚えている」〔同上〕
「それまで通っていた学校にトラックが来て、椅子や机、備品類を積んで運んだのを覚えてる。新しい学校に持ってくるんだって、手伝ったこともある」〔島崎軍司さん／81才（昭和20年生まれ）。川野地区出身〕
小河内小学校は平成16年に廃校になりましたが、校舎はいまも現存し、会社の事務所などに活用されています。",https://maps.app.goo.gl/N8DD1gg2eRQuWA827,,,,,,
11,徳富蘇峰詩碑,null,,"温泉神社内
■旧：温泉神社→現：ふれあい館
16:温泉神社に集約",,,,,,,
12,い組奉納の灯籠,null,,"■旧：鶴の湯温泉→現：ふれあい館
16:温泉神社に集約",,,,,,,
13,日食供養塔,"[35.779981686726856, 139.03605401515964]",historical,元出野・原地区にありましたが、小河内ダム建設のため、奥多摩郷土資料館（現奥多摩水と緑のふれあい館）に移設されました。寛政11（1799）年建立、他にはあまり見られない日食を供養した石塔です。建立の理由はわかりませんが、「天とうさまどうか大きな疫病がはやりませんように」と、疫病や自然災害に遭わないよう強い願われたものと思われます。高さ118㎝、幅56㎝。その珍しさから、天文学ファンが訪れます。奥多摩水と緑のふれあい館には、水没対象地域から移設された石造物が「石碑の小径」にずらりと野外展示されています。,https://maps.app.goo.gl/vYiU2y6rfuGEBJ5XA,https://www.youtube.com/watch?v=n3PDWWDD9BE,産経ニュース(YouTube),,,,
14,聖徳太子供養塔,"[35.760225588950014, 139.02449369430545]",folktale,"移転はされず、日指地区・山のふるさと村敷地内に現存する石仏です。大工・左官・建具・木挽・杣職人などが多かった小河内村では、聖徳太子信仰、太子講が盛んでした。
「女の髪の毛と大石」という民話も残されています。",https://maps.app.goo.gl/fv2nGbAWHSP3pfVR7,,女の髪の毛と大石,女の髪の毛と大石,onnanokaminoketo-oish,,
15,小河内温泉の碑,null,,"■旧：温泉神社→現：温泉神社
16:温泉神社に集約",,,,,,,
16,温泉神社,"[35.779825015273744, 139.0317946673234]",historical,元は湯場地区・鶴の湯の湯壺の傍に祀られたことから、湯の権現（のちに熊野三社権現）と呼ばれていました。小河内ダム建設のため小河内神社に合祀され、現在地へ移転しました。社殿は明治６年の再建で、町内では珍しい見事な彫刻が施されています。原地区の鎮守で、９月第２日曜の例祭で原獅子舞が奉納されます。境内には文政４（1821）年の小河内温泉神社の碑があります。,https://maps.app.goo.gl/fSvSHZfDuZrWXEQF6,https://youtu.be/VVBUzBivv6c,原獅子舞,,,原獅子舞,
17,小河内神社,"[35.77660882954816, 139.0207600593567]",historical,河内地区・奥多摩湖河内岬。小河内ダム建設のため水没対象地域にあった、温泉・金御岳・箭芎・貴船・愛宕・熊野（青木）・御霊・加茂・御岳（留浦）神社の９社11祭神を合祀し、昭和33年に遷座された小河内地区の総鎮守です。合祀後の９社の内７社の社殿は、住民の希望により各地域に移設されています。９月第２日曜の例祭で、川野獅子舞・原獅子舞・小河内の鹿島踊が奉納されます（坂本の獅子舞・小留浦の花神楽は現在休止中）。首都用水を守護するパワースポットとして人気を集めています。,https://maps.app.goo.gl/hcG4JmfGTg4XSnGW6,,,,,,
18,金御岳神社,"[35.77475043290969, 139.0221279859543]",folktale,"元河内地区の鎮守。祭神は天照皇大神・広国押武金日尊。都有形文化財指定の弘安７（1284）年の銘をもつ蔵王権現や平安時代や鎌倉時代にかけての貴重な仏像が多数あり、古社であることが伺えます。
小河内ダム建設により、小河内神社に合祀され、残念ながら社殿は現存していませんが、社殿横にあった御手洗いは奥多摩水と緑のふれあい館に移設し、野外展示されています。
金御岳神社に関連する民話として「やまんばあ物語」があります。",https://maps.app.goo.gl/vYiU2y6rfuGEBJ5XA,,,,,,"「やまんばあ物語り」■旧：金御岳神社

４２塚と重複するので、こちらを削除"
19,箭芎神社,"[35.77427168200917, 138.9990341663361]",heritage,小河内ダム建設により、小河内神社に合祀されました。川野地区の鎮守で、９月第２日曜の例祭に川野獅子舞が奉納されます。境内には、同じく小河内神社へ合祀された熊野神社（青木地区）、その他に熊野神社（川野地区）・川上神社が鎮座されています。,https://maps.app.goo.gl/5DPJm4pUJSycKtoU7,https://youtu.be/3sWN0PwAtVY,川野獅子舞,,,川野獅子舞,やきゅう　現在、川野に箭弓神社あり
20,太子堂,"[35.77657401221181, 138.99421691894534]",heritage,小留浦地区にある回転舞台を持つ農村舞台で、聖徳太子像を安置しています 。ダム建設により同じ小留浦地区に移転しました。都指定有形文化財。かつては、農村芝居や現在は休止中の花神楽（例祭は９月第２日曜小河内神社へ奉納）、人々の娯楽施設として見るものを楽しませました。,https://maps.app.goo.gl/DSkzFEm7RCSRJaBD7,,花神楽,,,花神楽,
21,姫石観音,"[35.778292, 138.996514]",folktale,小留浦地区。太子堂の前の山道を10分程登ったところにあります。自然石そのものを神仏として信仰の対象とした懸崖像です。女体を連想させるご本尊は古くから子宝石として、また安産の神様として信仰されています。,https://maps.app.goo.gl/4ppFqVt6hUC54LMR9,,姫の石観音,姫の石観音,himenoishi-kannon,,"パワースポット
現存"
22,貴船神社,"[35.778410, 138.990591]",folktale,元留浦地区の鎮守。小河内ダム建設により、小河内神社に合祀されましたが、移転することなく本殿もそのまま現存しています 。昭和59年に本殿の内外部、雨屋の補修が行われ、拝殿が新築されました。本殿横に天神様が祀られ、逆隣には留浦生活館があります。,https://maps.app.goo.gl/mz2sMm9wYDu4ReuWA,,,,,,"「水を止めた茶釜」
短い話なので、原稿に追記する形で。"
23,花入神社,"[35.795751, 138.997006]",heritage,峰地区の鎮守。水没地域にはなかったため、移転はありませんでした。木花咲耶姫を祀り、境内には町内で珍しい２対の石灯籠があります。毎年峰の獅子舞が奉納されていましたが、現在は休止中です。,https://maps.app.goo.gl/cgN79yvXbQhNjSuMA,,峰獅子舞,,,峰獅子舞,
24,浅間神社,null,,富士信仰,,,,,,,
25,白髭神社,null,,,,,,,,,
26,加茂神社,"[35.759912167819856, 139.02436494827273]",heritage,日指地区の元鎮守。日指地区は、水没はしませんが交通が遮断してしまうため、全戸移転となった地域です。当社は、小河内神社に合祀されましたが、社殿はそのまま山のふるさと村敷地内に現存しています。祭神は鴨別雷神。合祀以前は、当社と御霊神社（南地区）に小河内の鹿島踊が奉納されていました。,https://maps.app.goo.gl/5DPJm4pUJSycKtoU7,https://youtu.be/dSWFh6ZL6uk,鹿島踊,,,鹿島踊,
27,御霊神社,"[35.771364297050994, 139.020947814006]",heritage,南地区に鎮座していましたが、小河内ダム建設のため小河内神社に合祀されました。社殿は羽村市内に移設されましたが、残念ながら現存していません。正面が拝殿、本殿は後方崖の上に鎮座する「下り宮の上り宮」という珍しい社でした。合祀以前は、当社と加茂神社（日指地区）に小河内の鹿島踊が奉納されていました。,https://maps.app.goo.gl/5DPJm4pUJSycKtoU7,,鹿島踊,,,,
28,(愛宕神社),null,,"見つからず
●川野獅子舞",,,,,,,
29,真光寺,"[35.762968, 139.037013]",folktale,熱海向かいにあるとされる真光寺平にある寺,https://maps.app.goo.gl/UzG5Bg4ubb5wawcr8,,金の茶釜,金の茶釜,kinno-chagama,,※弘さんが場所を知っているらしい
30,浄光院,"[35.77720507406711, 139.0030896663666]",heritage,"金剛山浄光院。川野地区、現在地へは昭和13年に移設。昭和32年に１階が浄光院本堂、2階が生活館という珍しい形に立替えられました。「本堂の上で、ドタバタと獅子（川野）や車人形をやるのは…ということで、また昭和60年に切り離しました。」（岡部幸雄さん）
現在は浄光院の隣に川野生活館があり、川野車人形と川野獅子舞の練習が行われ、例年３月には川野車人形の公演が催されています。",,https://youtu.be/GjjZyV13LB8,川野車人形,,,川野車人形,
31,南陽寺,"[35.77345779886314, 139.01751995086673]",historical,南地区にあった金旭山南陽寺。小河内ダム建設のため、羽村市禅林寺に統合されました。,,,,,,,
32,普門寺,"[35.77903294910663, 139.02318477630618]",historical,元河内にあった町内最古の寺院で、現在は留浦地区へ移転しています。臨済宗建長寺派、開山は貞和年中（1345から1350）とされます。寛政２（1790）年建立の楼門は簡素美もあり、山村建築史の一端を伝えるものとして、町文化財に指定されています。境内には、数多くの石仏・石碑が移設されています。,https://maps.app.goo.gl/ZneF5qJbvmPaAZv6A,,,,,,
33,宝福寺,"[35.795082, 138.995651]",historical,峰地区にある古い寺院で、本尊は十二神将に囲まれた薬師如来です 。明治8年から大正5年までは、この地区の教育所としても利用されました 。近年、伽藍は取り壊されて峰生活改善センターへと生まれ変わりましたが、仏像などは館内の一室に今も大切に安置されています 。,https://maps.app.goo.gl/vA66KX2YUHNUNE1Q8,,,,,,"峰の生活館
「金の糞」
現代の話なので、原稿に加える形で掲載"
34,光徳寺,null,,■留浦,,,,,,,
35,峰谷橋,null,,,,,,,,,
36,麦山橋,null,,,,,,,,,
37,深山橋,null,,,,,,,,,
38,ほうで橋（川野）,"[35.77356225492001, 139.00248885154727]",historical,川野地区と青木地区を結ぶ多摩川に架けられた保瀬橋 。ほうで橋とも言われ、モミジがきれいな場所でした。この橋は爆破されず、そのまま湖底に沈んだそうです。川野獅子舞の道笛に「ほうで橋」という曲目があり、この橋を通る時にだけ吹かれていました。,,,,,,,保瀬橋
39,四十二塚,"[35.77584502073042, 139.02240693569186]",folktale,河内地区にあったヤマンバに関する伝説の場所です。ヤマンバの死体を42か所に分けて埋葬したその１つとされました。民話「やまんばあ物語」が残されています。,,,やまんばあ物語り,やまんばあ物語り,yamanba-monogatari,,"「やまんばあ物語り」
もとの候補地は「周遊道路(月夜見山)」"
40,小袖川,null,,"場所不明、調査必要
「送り狼」",,,,,,,
41,エブチ(江淵),"[35.775947297550296, 138.99857282638553]",folktale,留浦地区と小留浦地区の間にある多摩川の大きな淵。民話「貸椀」の舞台になった場所です。危険な場所でもあったようで、子どもたちは「遊んではいけない場所」と言われていたようです。,,,貸椀,貸椀,kashiwan,,「椀貸伝説」
42,上の山（熱海）,"[35.784725, 139.043206]",folktale,小河内ダム建設に伴い温泉神社が移転した、原地区の高台の地名 。民話「千里眼婆さん」に関連する場所です。,,,千里眼婆さん,千里眼婆さん,senrigan-basan,,"「千里眼婆さん」
原稿の移動が必要"
43,青木集落,"[35.77300080200098, 139.00236546993258]",folktale,大きな木があったことからその名がついたと言われる集落です 。中央の森には穀霊の神を祀る熊野神社が鎮座していました 。昭和9年には川野とともに大規模な火災に見舞われる苦難もありましたが、現在は湖畔の風景の一部となり、その魂は箭弓神社の境内に奉遷されています 。,,,尾裂狐,尾裂狐,ozake-kistune,,
44,明道学校（川野分校）,null,,学校の説明に追加,,,,,,,
45,"明治分校(峰谷？）
峰谷川渓流釣場",null,,「金の糞」,,,,,,,
46,のんきや,"[35.77970315926002, 139.03197437213962]",historical,"原地区にある飲食店。かつては、湯場地区の温泉神社向いにありました。
「七五三のお参りに温泉神社に行って、そのあとにのんきやでお蕎麦を食べた記憶があるよ。」（岡部義重さん）
現在は店から見える眺望も抜群で、手打ち蕎麦やラーメンが人気です。",https://maps.app.goo.gl/mNC2z8cN1CubZWBy6,,,,,,
47,丸井亭,"[35.774776546512264, 139.00343030691147]",historical,川野地区にある飲食店。移転前も川野地区にあり、こんにゃくの製造に力を入れていました。今は大型駐車場もあり、ツーリングやドライブの観光客で賑わいます。釜飯が人気で、奥多摩では珍しいカブトムシの販売もしています。,https://maps.app.goo.gl/ZAF6BQoRHbTnn4oU9,,,,,,
48,美山亭？,null,,,,,,,,,
49,陣屋,null,,,,,,,,,
50,箭芎神社,"[35.77436743241987, 138.9991629123688]",historical,かつては川野地区・箭芎神社の社家でした。移転後は川野地区の飲食店「矢弓亭」になり、地元の山菜を使った山菜蕎麦、かつ丼が人気です。,https://maps.app.goo.gl/A2wdn2PtHzJfYZ8Y8,,,,,,
51,清流荘（峰谷ショップ）,"35.794688, 139.001756",current,下り地区にあるカフェ。下り・奥・峰地区は小河内村内で移転がなかった地域で、ダム建設後に清流荘として旅館を営んでいました。令和７年に峰谷ショップ清流荘として、売店を併設したカフェとしてリニューアルオープンしました。,https://maps.app.goo.gl/fzUWv3rc4HZjmUam7,,,,,,現在地
52,えびすや旅館,"[35.77504203431839, 139.00343567132953]",historical,原地区にある旅館。元は川野地区でえびすや旅館として営業されていました。現在、「小河内荘」として小河内地区で宿泊できる唯一の旅館です。宿からの奥多摩湖の眺望もよく、お風呂は鶴の湯の温泉を使用しています。,https://maps.app.goo.gl/UUACYUmpssetoGAB9,,,,,,エビスヤ
53,小河内貯水池管理事務所,"[35.789246, 139.050935]",current,奥多摩湖を管理・運用するための東京都水道局の施設です 。小河内ダムの安全な貯水・放流業務や周辺水源の管理を行い、首都東京への安定的な水の供給を支えています。ダム堤頂部には、展望塔があり、ダムの歴史を紹介した展示室とダムが一望できる展望室があります。,https://maps.app.goo.gl/Lt49zz8JyzXPqkVs8,,,,,,現在地
54,奥多摩水と緑のふれあい館,"[35.792685, 139.048123]",current,"昭和53年４月、小河内ダム建設により水没した小河内村の歴史や文化財をはじめとして、奥多摩町域の郷土を広く周知するため奥多摩郷土資料館が開館しましたが、平成７年に閉館します。その後、平成10年に東京近代水道100周年記念事業の一環として、小河内貯水池の重要性・水源保全のPRを目的に、奥多摩水と緑のふれあい館が奥多摩町と都水道局の共同で新たに開館しました。
奥多摩の歴史や文化、郷土芸能、小河内ダムの歴史や水源林の管理などが学べる施設です。屋外の「石碑の小径」では、小河内ダム建設により移設された数多くの石仏・石碑が展示されています。",https://maps.app.goo.gl/ikVmMiSZVVMzFb7x8,,,,,,現在地
55,ドラム缶橋（浮橋）,null,,海外からの旅行者に人気,,,,,,,
56,いこいの道,null,,,,,,,,,
57,山のふるさと村,null,,,,,,,,,
58,カキの木,"[35.793920, 139.000346]",historical,峰地区にあるカキの木。ここは「柿干」と呼ばれ、現在の道路ができる以前は下り地区からつづら折りの急坂を登り、一息つく場所でした。秋には沢山の赤い実をつけ、見て食べてこの道を通る人々を楽しませたのではないでしょうか。樹高10ｍ、幹囲2.7ｍ。,https://maps.app.goo.gl/HpDNpdUhgMQWubrK9,,,,,,"GoogleMapでスポットあり
酒井常子さん実家にあるカキの木"
59,鹿島踊,null,,主に寺院神社↓,,,,,,,
60,車人形,null,,,,,,,,,
61,原獅子舞,null,,,,,,,,,
62,川野獅子舞,null,,,,,,,,,
63,坂本獅子舞,null,,,,,,,,,
64,峰獅子舞,null,,,,,,,,,
65,花神楽,null,,,,,,,,,
66,よいさか踊,"[35.77628676860512, 138.9895284175873]",heritage,留浦地区の貴船神社祭礼で踊られたとされる民俗芸能です 。男女の装束を纏った3人で踊り、歌詞には正月から12月までの年中行事が面白く織り込まれています 。いつどのように伝わったかは不明ですが、当時の村の暮らしと信仰が一体となった、留浦地区を代表する貴重な踊りです 。,,,,,,,"留浦プロット済み
写真で紹介"
67,写し絵,"[35.77580802695467, 138.99037599563601]",heritage,河内地区で使われていた、影絵とも呼ばれる幻燈の機械です 。かつて村の娯楽として親しまれ、暗闇の中に浮かび上がる映像が人々に驚きと喜びを与えていました 。現在は奥多摩水と緑のふれあい館に寄贈・保管されており、文明の利器が山村の生活に溶け込んでいた歴史を伝えています 。,,,,,,,"留浦プロット済み
写真で紹介"
68,杉田家（川野）,null,folktale,川野地区で代々続く旧家で、浄光院の開基である杉田重直夫妻を輩出した歴史を持ちます 。浄光院には今も夫妻の木像が安置されています 。ダム建設に伴う激動の中で、地域の伝統と信仰を支え、郷土芸能の継承などにおいても中心的な役割を果たしてきた、川野を代表する一族です。,,,,,,,"※郷土芸能は映像をリンク
「土蔵破り」「猫おどり秘聞」「おつねの泣き坂」"
69,河内集落,null,photo,※原稿が必要、小河内村の最大集落であることを記載,,,,,,,※昭島の河内集落の住宅地図を掲載予定
70,写真,null,photo,,,,,,,,
71,写真,null,photo,,,,,,,,
72,写真,null,photo,,,,,,,,
73,写真,null,photo,,,,,,,,
74,写真,null,photo,,,,,,,,
75,写真,null,photo,,,,,,,,
76,写真,null,photo,,,,,,,,
77,写真,null,photo,,,,,,,,
78,写真,null,photo,,,,,,,,
79,写真,null,photo,,,,,,,,
80,ツネの泣坂,"[35.769785, 139.002036]",folktale,川野の頭領杉田入道重長の館の女中おつねが、修行僧香蘭に会いにくために登ったとされる急坂。,,,おつねの泣き坂,おつねの泣き坂,otsuneno-nakizaka,,
81,南集落,"[35.773874, 139.019902]",folktale,小菅村の頭領小菅遠江守の隠し女がいるとされた集落。,,,猫踊り秘聞,猫踊り秘聞,nekoodori-hibun,,
82,湯場集落,"[35.778667, 139.031601]",folktale,鶴の湯温泉として知られ、多くの宿があった集落。,,,鶴の湯事始め,鶴の湯事始め,tsurunoonsen-kotohazime,,
