id,title,coordinates,type,description,remark
10,寺の跡地,"[35.78041589176191, 139.036534113836]",interview,"出野・原地区の門覚寺跡地は、青年団が陸上の練習をするのに使われていました。
「その頃は青年団の活動が盛んで、西多摩郡の陸上大会などもありました。小河内村でも、各集落ごとに対抗試合をしていた。河内集落が強くてね。河内は教員住宅に住む先生もいて足が速い人が多かった。だから河内はいつも１等賞で、子どもながらに悔しかったね」（岡部義重さん）
年頃の若者達の出会いと交流の場だったようです。",
111,"集落間で競ったどんど焼き
※14","[35.77485923953054, 139.0047097206116],[35.776069159121334, 139.00376558303836]",interview,昭和初期頃まで、１月14・15・16・20の４日間にわたって行われた「せえの神（さいの神）祭りで、お正月飾りのオッカドボウ・アウボ・ヒエボ、御札や御守をお焚き上げをします（「どんど焼き」）。この火に温まれば年中無病息災、枝にさした「まゆ玉」を火で焦がして食べると風邪にかかることがないと言われています。かつては川野・青木・麦山・南・河内・湯場・原・熱海など多くの地区で、地区の境界を守護した道祖神の近くで行われたようです。「負けないようにみんなでお松を集めて、朝までやっていましたね。」（島﨑治二さん）と炎の大きさを競ったというお話も聞きました。現在では、川野地区のみで開催されています。,
112,生活を支えた川,"[35.7760169327566, 138.98883104324344],[35.77374940501212, 139.00113701820376],[35.78245792561493, 139.04060840606692]",interview,"　川からそう遠くない場所に民家が並び、川で洗濯をしたり、瓶やお風呂に水をためて生活をしていました。「ここで大人がよくおしめを洗っていた」「道が悪い所を、毎日天秤棒を担いで水を運んだ」というエピソードも。川への水汲みは重労働ですが、登校前の子供やお腹の大きい妊婦もしていたようです。
　一方で、
「川が近かったから、学校帰りに何人かで川原に降りて水浴びをしてました。下着１枚なって向こう岸までで引っ張ってもらって、そこの淵で遊んで、夕方近くなると家に帰ったの」（●）
「上級生に犬かきとか、平泳ぎとかを教わったね。プールなんてなかったから、泳ぎは川で覚えました」(●)
他にも大きな岩から飛び込みをする、もりでカジカを捕る…など、川は子供たちにとって絶好の遊び場でもあり、人々の生活にとって欠かせないものでした。",
113,２度の大火事,"[35.77727035604214, 139.01111483573916],[35.77609527229084, 139.0022420883179]",interview,"ダム建設の問題で小河内村の人々が混乱していた昭和９年、追い討ちをかけるように２度の大火事がありました。
１度目は１月、麦山地区の対岸であがった火が風にあおられて集落に届き、24戸45棟が焼失。２度目は４月、民家から広がった火が川野地区の38戸と隣の青木地区の21戸合計86棟を焼失しました。
「集落の人たちはみんな、よその集落に避難しました。新しく家を建てるときもよその集落の大工さんが応援にきてくれましたね。たまたま同じ年だったから、余計に大変でした。」（岡部幸雄さん）",
114,小学校,"[35.77509426132346, 139.00262832641604],[35.777017932108315, 139.02284145355227],[35.79432017233436, 139.00439858436587],[35.7866492373623, 139.01456508747506]",interview,"小河内村の学校は、「河内」集落の「小河内東尋常高等小学校」と、「川野」集落の「小河内西尋常小学校」、「留浦」集落の「明治分教場」があり、児童数はあわせて678人。うち560人が水没した地域に住んでいた。
「友達がみんな引っ越しちゃって、残るのは何人もいなかったの。すごく寂しい思いをして、しょっちゅう泣いてた」（もと住民）
ダムの建設が進むと、新たに高台に「小河内小学校」が建設された。
「先生が、今度行く学校（小河内小学校）を見に、みんなを連れていってくれたんです。はじめて見たとき、白く光ってて、お城みたいで、うわー、すごくキレイ！ って、あの感動はいまも覚えている」（もと住民）
「それまで通っていた学校にトラックが来て、椅子や机、備品類を積んで運んだのを覚えてる。新しい学校に持ってくるんだって、手伝ったこともある」（もと住民）
小河内小学校は2004年に廃校になったが、校舎はいまも残っている。",
11,徳富蘇峰詩碑,null,,"温泉神社内
■旧：温泉神社→現：ふれあい館
16:温泉神社に集約",
12,い組奉納の灯籠,null,,"■旧：鶴の湯温泉→現：ふれあい館
16:温泉神社に集約",
13,日食供養塔,"[35.779981686726856, 139.03605401515964]",historical,"元出野・原地区にありましたが、小河内ダム建設のため、奥多摩郷土資料館（現奥多摩水と緑のふれあい館）に移設されました。寛政11（1799）年建立、他にはあまり見られない日食を供養した石塔です。建立の理由はわかりませんが、「天とうさまどうか大きな疫病がはやりませんように」と、疫病や自然災害に遭わないよう強い願われたものと思われます。高さ118㎝、幅56㎝。その珍しさから、天文学ファンが訪れます。奥多摩水と緑のふれあい館には、水没対象地域から移設された石造物が「石碑の小径」にずらりと野外展示されています。
■旧：原→現：ふれあい館",■旧：原→現：ふれあい館
14,聖徳太子供養塔(日指),"[35.760225588950014, 139.02449369430545]",folktale,日指（ひさし）地区に建立された石碑です 。文政11年の銘があり、「天下泰平」「日月清明」を願って願主・吉野仁兵衛らにより奉納されました 。職人の神様として崇敬された聖徳太子の信仰が、この山深い集落にも浸透していたことを物語る貴重な遺構です。,「女の髪の毛と大石」■旧現：日指
15,小河内温泉の碑,null,,"■旧：温泉神社→現：温泉神社
16:温泉神社に集約",
16,温泉神社,"[35.779825015273744, 139.0317946673234]",historical,"元は湯場地区・鶴の湯の湯壺の傍に祀られたことから、湯の権現（のちに熊野三社権現）と呼ばれていました。小河内ダム建設のため小河内神社に合祀され、現在地へ移転しました。社殿は明治６年の再建で、町内では珍しい見事な彫刻が施されています。原地区の鎮守で、９月第２日曜の例祭で原獅子舞が奉納されます。境内には文政４（1821）年の小河内温泉神社の碑があります。
●原獅子舞　■旧：温泉神社→現：温泉神社",●原獅子舞　■旧：温泉神社→現：温泉神社
17,小河内神社,"[35.77660882954816, 139.0207600593567]",historical,"河内地区・奥多摩湖河内岬。小河内ダム建設のため水没対象地域にあった、温泉・金御岳・箭芎・貴船・愛宕・熊野（青木）・御霊・加茂・御岳（留浦）神社の９社11祭神を合祀し、昭和33年に遷座された小河内地区の総鎮守です。合祀後の９社の内７社の社殿は、住民の希望により各地域に移設されています。９月第２日曜の例祭で、川野獅子舞・原獅子舞・小河内の鹿島踊が奉納されます（坂本の獅子舞・小留浦の花神楽は現在休止中）。首都用水を守護するパワースポットとして人気を集めています。
■現：小河内神社",■現：小河内神社
18,金御岳神社,"[35.77475043290969, 139.0221279859543]",folktale,"元河内地区の鎮守。祭神は天照皇大神・広国押武金日尊。都有形文化財指定の弘安７（1284）年の銘をもつ蔵王権現や平安時代や鎌倉時代にかけての貴重な仏像が多数あり、古社であることが伺えます。
小河内ダム建設により、小河内神社に合祀され、残念ながら社殿は現存していませんが、社殿横にあった御手洗いは奥多摩水と緑のふれあい館に移設し、野外展示されています。
「やまんばあ物語り」■旧：金御岳神社",「やまんばあ物語り」■旧：金御岳神社
19,箭芎神社,"[35.77427168200917, 138.9990341663361]",historical,"小河内ダム建設により、小河内神社に合祀されました。川野地区の鎮守で、９月第２日曜の例祭に川野獅子舞が奉納されます。境内には、同じく小河内神社へ合祀された熊野神社（元青木地区）、その他に熊野神社（元川野地区）・川上神社が鎮座されています。
●川野獅子舞","やきゅう　現在、川野に箭弓神社あり
●川野獅子舞"
20,太子堂,"[35.77657401221181, 138.99421691894534]",historical,小留浦にあった農村舞台で、聖徳太子像を安置しています 。慶応元年に再建された建物は、内部に柱がなく、回転舞台の装置を持つ江戸末期の貴重な娯楽施設です 。都の有形文化財に指定されており、昭和31年に現在の留浦の地へ移築され、その姿を今に留めています 。,●花神楽
21,姫石観音,null,,入れたい　パワースポット　現在地不明,
22,貴船神社,"[35.778410, 138.990591]",folktale,留浦の北に鎮座する村の鎮守です 。高金龍神命を祭り、流水を司る水神として崇敬されてきました 。小河内の多くの社が移転・合祀される中で、この神社は元の場所に残り、本殿の位置も当時のまま現存しています 。社殿内には旧祭神の不動明王像も安置されています 。,「水を止めた茶釜」
23,花入神社,"[35.795751, 138.997006]",historical,留浦地区にあり、木花咲耶姫命を祀ります 。元は「花入大明神」と称し、本地仏は十一面観音でした 。元禄13年（1700年）再建の棟札があり、非常に古い歴史を持ちます 。山村には珍しく二対の石灯籠があり、江戸時代から厚く信仰されてきた形跡が残っています 。,●峰獅子舞
24,浅間神社,null,,富士信仰,
25,白髭神社,null,,,
26,加茂神社,"[35.759912167819856, 139.02436494827273]",historical,"加茂神社のある日指地区は、水没はしませんが交通が遮断してしまうため、全戸移転となった地域です。当社は、小河内神社に合祀されましたが、社殿はそのまま山のふるさと村敷地内に現存しています。祭神は鴨別雷神。合祀以前は、当社と御霊神社（南地区）に小河内の鹿島踊が奉納されていました。
●鹿島踊",●鹿島踊
27,御霊神社,"[35.771364297050994, 139.020947814006]",historical,"南地区に鎮座していましたが、小河内ダム建設のため小河内神社に合祀されました。社殿は羽村市内に移設されましたが、残念ながら現存していません。正面が拝殿、本殿は後方崖の上に鎮座する「下り宮の上り宮」という珍しい社でした。合祀以前は、当社と加茂神社（日指地区）に小河内の鹿島踊が奉納されていました。
●鹿島踊",●鹿島踊
28,(愛宕神社),null,,"見つからず
●川野獅子舞",
29,真光寺,null,,"現在地不明
「金の茶釜」",
30,浄光院,"[35.77720507406711, 139.0030896663666]",folktale,"金剛山浄光院。川野地区、現在地へは昭和13年に移設。昭和32年に１階が浄光院本堂、2階が生活館という珍しい形に立替えられました。「本堂の上で、ドタバタと獅子（川野）や車人形をやるのは…ということで、また昭和60年に切り離しました。」（岡部幸雄さん）
現在は浄光院の隣に川野生活館があり、川野車人形と川野獅子舞の練習が行われ、例年３月には川野車人形の公演が催されています。
「おつねの泣き坂」",「おつねの泣き坂」
31,南陽寺,"[35.77345779886314, 139.01751995086673]",historical,南地区にあった金旭山南陽寺。小河内ダム建設のため、羽村市禅林寺に統合されました。,
32,普門寺,"[35.77903294910663, 139.02318477630618]",historical,川野地区と青木地区を結ぶ多摩川に架けられた保瀬橋 。ほうで橋とも言われ、モミジがきれいな場所でした。この橋は爆破されず、そのまま湖底に沈んだそうです。川野獅子舞の道笛に「ほうで橋」という曲目があり、この橋を通る時にだけ吹かれていました。,
33,宝福寺,"[35.795082, 138.995651]",folktale,峰地区にある古い寺院で、本尊は十二神将に囲まれた薬師如来です 。明治8年から大正5年までは、この地区の教育所としても利用されました 。近年、伽藍は取り壊されて峰生活改善センターへと生まれ変わりましたが、仏像などは館内の一室に今も大切に安置されています 。,"峰の生活館
「金の糞」"
34,光徳寺,null,,■留浦,
35,峰谷橋,null,,,
36,麦山橋,null,,,
37,深山橋,null,,,
38,ほうで橋（川野）,"[35.77356225492001, 139.00248885154727]",historical,川野と青木を結ぶ多摩川に架けられた「保瀬橋」です 。かつては草屋根の美しい家々が並ぶ付近にあり、清流にはこんにゃく製粉用の水車が回る長閑な景色が見られました 。昭和9年の火災で周辺が焼失する悲劇もありましたが、村人にとって忘れられない生活の要所でした 。,保瀬橋
39,四十二塚,"[35.77584502073042, 139.02240693569186]",folktale,河内地区の伝説にまつわるスポットです 。河内の集落は多摩川の流れが「心」の字に見えることから様々な伝説が生まれ、その一つとして「ヤマンバ」に関する四十塚の伝説が今も語り継がれています 。山村の精神文化の深さを物語る、歴史と民話が交差する不思議な場所です 。,"「やまんばあ物語り」
もとの候補地は「周遊道路(月夜見山)」"
40,小袖川,null,,"場所不明、調査必要
「送り狼」",
41,エブチ(江淵),"[35.775947297550296, 138.99857282638553]",folktale,留浦から小留浦にかけての多摩川沿いにあった場所です 。有名な民話「貸しわん」の伝説が残る淵として知られていました 。静かな清流と岩場が織りなす風景は美しく、かつては対岸の笹平へ渡る唯一の「さんわ橋（下の橋）」が架けられ、人々の往来を支えていました 。,「椀貸伝説」
42,上の山(温泉神社）,"[35.78486881168837, 139.04278635978702]",folktale,温泉神社がダム建設に伴って移築された、原地区の高台の地名です 。もとは湖底に沈んだ湯場にありましたが、現在はここから奥多摩湖を見守っています 。社前には小河内温泉の碑や水天宮、地蔵菩薩などの碑塔が立ち並び、かつての温泉郷の記憶を今に繋ぐ聖域となっています 。,「千里眼婆さん」
43,青木集落,"[35.77300080200098, 139.00236546993258]",folktale,大きな木があったことからその名がついたと言われる集落です 。中央の森には穀霊の神を祀る熊野神社が鎮座していました 。昭和9年には川野とともに大規模な火災に見舞われる苦難もありましたが、現在は湖畔の風景の一部となり、その魂は箭弓神社の境内に奉遷されています 。,「尾裂狐」
44,明道学校（川野分校）,null,,学校の説明に追加,
45,"明治分校(峰谷？）
峰谷川渓流釣場",null,,「金の糞」,
46,のんきや,"[35.77970315926002, 139.03197437213962]",historical,"原地区にある飲食店。かつては、湯場地区の温泉神社向いにありました。
「七五三のお参りに温泉神社に行って、そのあとにのんきやでお蕎麦を食べた記憶があるよ。」（岡部義重さん）
現在は店から見える眺望も抜群で、手打ち蕎麦やラーメンが人気です。",
47,丸井亭,"[35.774776546512264, 139.00343030691147]",historical,川野地区にある飲食店。移転前も川野地区にあり、こんにゃくの製造に力を入れていました。大型駐車場もあり、ツーリングやドライブの観光客で賑わいます。釜飯が人気で、奥多摩では珍しいカブトムシの販売もしています。,
48,美山亭？,null,,,
49,陣屋,null,,,
50,矢弓亭,"[35.77436743241987, 138.9991629123688]",historical,川野地区にある飲食店。かつては川野地区・箭芎神社の社家でした。地元の山菜を使った山菜蕎麦、かつ丼が人気です。,
51,清流荘（峰谷ショップ）,"35.794688, 139.001756",historical,下り地区にあるカフェ。下り・奥・峰地区は小河内村内で移転がなかった地域で、ダム建設後に清流荘として旅館を営んでいました。令和７年に峰谷ショップ清流荘として、売店を併設したカフェとしてリニューアルオープンしました。,現在地
52,小河内荘,"[35.77504203431839, 139.00343567132953]",historical,原地区にある旅館。元は川野地区でえびすや旅館として営業されていました。現在、小河内地区で宿泊できる唯一の旅館で、宿からの奥多摩湖の眺望もよく、お風呂は鶴の湯の温泉を使用しています。,エビスヤ
53,小河内貯水池管理事務所,"[35.789246, 139.050935]",historical,奥多摩湖を管理・運用するための東京都水道局の施設です 。小河内ダムの安全な貯水・放流業務や周辺水源の管理を行い、首都東京への安定的な水の供給を支えています。ダム堤頂部には、展望塔があり、ダムの歴史を紹介した展示室とダムが一望できる展望室があります。,現在地
54,奥多摩水と緑のふれあい館,"[35.792685, 139.048123]",historical,"昭和53年４月、小河内ダム建設により水没した小河内村の歴史や文化財をはじめとして、奥多摩町域の郷土を広く周知するため奥多摩郷土資料館が開館しましたが、平成７年に閉館します。その後、平成10年に東京近代水道100周年記念事業の一環として、小河内貯水池の重要性・水源保全のPRを目的に、奥多摩水と緑のふれあい館が奥多摩町と都水道局の共同で新たに開館しました。
奥多摩の歴史や文化、郷土芸能、小河内ダムの歴史や水源林の管理などが学べる施設です。屋外の「石碑の小径」では、小河内ダム建設により移設された数多くの石仏・石碑が展示されています。",現在地
55,ドラム缶橋（浮橋）,null,,海外からの旅行者に人気,
56,いこいの道,null,,,
57,山のふるさと村,null,,,
58,カキの木,"[35.793920, 139.000346]",historical,峰地区にあるカキの木。ここは「柿干」と呼ばれ、現在の道路ができる以前は下り地区からつづら折りの急坂を登り、一息つく場所でした。秋には沢山の赤い実をつけ、見て食べてこの道を通る人々を楽しませたのではないでしょうか。樹高10ｍ、幹囲2.7ｍ。,"GoogleMapでスポットあり
酒井常子さん実家にあるカキの木"
59,鹿島踊,null,,主に寺院神社↓,
60,車人形,null,,,
61,原獅子舞,null,,,
62,川野獅子舞,null,,,
63,坂本獅子舞,null,,,
64,峰獅子舞,null,,,
65,花神楽,null,,,
66,よいさか踊,"[35.77628676860512, 138.9895284175873]",historical,留浦地区の貴船神社祭礼で踊られたとされる民俗芸能です 。男女の装束を纏った3人で踊り、歌詞には正月から12月までの年中行事が面白く織り込まれています 。いつどのように伝わったかは不明ですが、当時の村の暮らしと信仰が一体となった、留浦地区を代表する貴重な踊りです 。,留浦プロット済み
67,写し絵,"[35.77580802695467, 138.99037599563601]",historical,河内地区で使われていた、影絵とも呼ばれる幻燈の機械です 。かつて村の娯楽として親しまれ、暗闇の中に浮かび上がる映像が人々に驚きと喜びを与えていました 。現在は奥多摩水と緑のふれあい館に寄贈・保管されており、文明の利器が山村の生活に溶け込んでいた歴史を伝えています 。,留浦プロット済み
68,杉田家（川野）,"[35.774643802276806, 139.00250494480136]",folktale,川野地区で代々続く旧家で、浄光院の開基である杉田重直夫妻を輩出した歴史を持ちます 。浄光院には今も夫妻の木像が安置されています 。ダム建設に伴う激動の中で、地域の伝統と信仰を支え、郷土芸能の継承などにおいても中心的な役割を果たしてきた、川野を代表する一族です。,"※郷土芸能は映像をリンク
「土蔵破り」「猫おどり秘聞」「おつねの泣き坂」"
